patent_id	inventor_id
5239505	4963825-1
5239505	4992980-3
5239505	5065364-1
5239638	4785396-4
5239638	6148356-4
5239639	5239639-1
5239639	8131989-1
5239639	5239639-3
5241490	5241490-1
5241628	5241628-1
5241636	4366536-1
5242864	5202291-1
5242864	5231053-3
5242864	5242864-2
5242864	5242864-3
5242864	5242864-4
5242864	5242864-6
5243236	6891488-1
5243447	5243447-1
5243447	5243447-2
5243575	5243575-1
5243575	5243575-2
5243575	5243575-3
5244843	3997367-1
5244843	5244843-1
5244843	5244843-2
5245436	5245436-1
5245570	4963825-1
5245570	4975883-3
5245570	4992980-3
5245570	5065364-1
5245572	5053990-1
5245572	5245572-2
5245574	5262990-4
5245574	5243575-2
5245574	4685084-1
5246218	5246218-1
5246218	5246218-2
5247206	7923237-1
5247479	4316106-2
5247577	8209480-2
5247577	5247577-1
5247606	6908227-2
5248900	6882730-2
5249158	4858186-1
5249158	5053990-3
5249158	5159672-1
5249158	5197034-2
5249158	5249158-1
5249278	4783757-1
5253255	5630083-3
5255230	5057715-3
5255230	5336456-1
5255230	5255230-3
5255377	5255377-1
5255378	4972338-1
5255378	6857051-2
5256594	4673391-1
5256594	4723197-2
5256594	4728617-1
5256594	6876031-3
5256594	5256594-5
5256911	4412310-4
5256911	6908227-2
5256994	4860197-2
5257162	4868992-2
5257215	5241490-1
5257216	5235533-1
5257218	5241490-1
5257221	5892377-2
5257221	5057715-3
5257221	5159672-3
5257353	5146565-1
5257353	5146565-2
5257381	7065078-2
5258333	3921283-1
5258333	5258333-2
5258943	5258943-1
5258943	5258943-2
5260236	4762728-1
5260236	5950107-1
5260889	5195051-1
5261109	5191649-1
5261109	5191649-2
5261109	5191649-3
5261109	5694555-5
5261989	5261989-1
5262279	4666555-1
5262279	5202291-1
5262279	5262279-2
5262855	4785349-3
5262855	5621674-1
5262855	5245436-1
5262990	5136544-1
5262990	5243575-2
5262990	5262990-2
5262990	5262990-4
5262990	5262990-5
5264734	4412310-4
5264734	6908227-2
5264734	5264734-1
5264785	5049765-2
5265053	5265053-1
5265053	5265053-2
5265059	4858186-1
5265059	5197034-2
5265059	5249158-1
5265180	4785349-3
5265213	5265213-1
5265213	5265213-2
5265213	5265213-3
5265227	4366536-1
5265227	5265227-1
5266445	5266445-1
5266886	5266886-1
5267196	5243575-3
5267196	5262990-4
5267196	5267196-1
5267213	4975883-3
5267213	5267213-1
5267213	7050507-2
5267218	5267218-1
5268320	4412310-4
5268320	6908227-2
5270256	5231053-2
5270256	5231053-3
5270256	7787292-6
5270256	5270256-2
5270264	5104828-2
5270264	5270264-1
5271020	5271020-1
5271908	4210539-1
5271908	5271908-2
5274277	5274277-1
5274278	5262990-4
5274278	5243575-3
